n,mode,randomized,deterministic
1000,random,0.0014265553327277303,0.0011408333278571565
1000,sorted,0.0013316946763855715,0.015616111001387859
1000,reversed,0.0013923750084359199,0.028877847333205864
1000,repeated,0.01149561099979716,0.01084008333661283
5000,random,0.008808583341306075,0.006524624991773938
5000,sorted,0.007739624998066574,0.3812519306666218
5000,reversed,0.008035527678051343,0.7198489863270273
5000,repeated,0.2814983470016159,0.26529643033669953
10000,random,0.017558222335840885,0.014131569322974732
10000,sorted,0.016307097335811704,1.5184160969996203
10000,reversed,0.016544374676110845,2.9990981526692244
10000,repeated,1.0713870973365072,1.0597148190136068
20000,random,0.0370711806754116,0.02971924966550432
20000,sorted,0.035440917000717796,6.010212347328586
20000,reversed,0.035800402673582234,11.5164025973451
20000,repeated,4.2489569443278015,4.226802430658911
